,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
441,13111,1000.0
442,13113,1000.0
443,13115,1000.0
444,13117,10000.0
445,13119,1000.0
446,13121,10000.0
447,13123,1000.0
448,13125,25.0
449,13127,1000.0
450,13129,1000.0
451,13131,1000.0
452,13133,1000.0
453,13135,1000.0
454,13137,1000.0
455,13139,1000.0
456,13141,1000.0
457,13143,1000.0
458,13145,1000.0
459,13147,1000.0
460,13149,940.0
461,13151,1000.0
462,13153,1000.0
463,13155,1000.0
464,13157,1000.0
465,13159,1000.0
466,13161,1000.0
467,13163,200.0
468,13165,1000.0
469,13167,200.0
470,13169,1000.0
471,13171,1000.0
472,13173,1000.0
473,13175,940.0
474,13177,1000.0
475,13179,1000.0
476,13181,1000.0
477,13183,1000.0
478,13185,1000.0
479,13187,1000.0
480,13189,1000.0
481,13191,1000.0
482,13193,1000.0
483,13195,1000.0
484,13197,1000.0
485,13199,1000.0
486,13201,1000.0
487,13205,1000.0
488,13207,1000.0
489,13209,1000.0
490,13211,1000.0
491,13213,1000.0
492,13215,1000.0
493,13217,1000.0
494,13219,1000.0
495,13221,1000.0
496,13223,1000.0
497,13225,1000.0
498,13227,1000.0
499,13229,1000.0
500,13231,1000.0
501,13233,1000.0
502,13235,1000.0
503,13237,1000.0
504,13239,940.0
505,13241,1000.0
506,13243,1000.0
507,13245,1000.0
508,13247,1000.0
509,13249,1000.0
510,13251,200.0
511,13253,1000.0
512,13255,1000.0
513,13257,1000.0
514,13259,1000.0
515,13261,1000.0
516,13263,1000.0
517,13265,1000.0
518,13267,1000.0
519,13269,1000.0
520,13271,1000.0
521,13273,1000.0
522,13275,1000.0
523,13277,1000.0
524,13279,1000.0
525,13281,1000.0
526,13283,1000.0
527,13285,1000.0
528,13287,1000.0
529,13289,1000.0
530,13291,1000.0
531,13293,1000.0
532,13295,10000.0
533,13297,1000.0
534,13299,1000.0
535,13301,25.0
536,13303,1000.0
537,13305,1000.0
538,13307,200.0
539,13309,1000.0
540,13311,1000.0
541,13313,10000.0
542,13315,1000.0
543,13317,1000.0
544,13319,1000.0
545,13321,1000.0
546,15001,1000.0
547,15003,1000.0
548,15005,940.0
549,15007,1000.0
550,15009,1000.0
551,16001,5000.0
552,16003,1000.0
553,16005,1000.0
554,16007,1000.0
555,16009,1000.0
556,16011,10000.0
557,16013,1000.0
558,16015,1000.0
559,16017,1000.0
560,16019,10000.0
561,16021,1000.0
562,16023,1000.0
563,16025,115.0
564,16027,5000.0
565,16029,1000.0
566,16031,1000.0
567,16033,25.0
568,16035,1000.0
569,16037,1000.0
570,16039,1000.0
571,16041,1000.0
572,16043,10000.0
573,16045,1000.0
574,16047,1000.0
575,16049,115.0
576,16051,10000.0
577,16053,1000.0
578,16055,1000.0
579,16057,1000.0
580,16059,1000.0
581,16061,100.0
582,16063,1000.0
583,16065,10000.0
584,16067,1000.0
585,16069,5000.0
586,16071,1000.0
587,16073,1000.0
588,16075,1000.0
589,16077,1000.0
590,16079,1000.0
591,16081,1000.0
592,16083,1000.0
593,16085,1000.0
594,16087,1000.0
595,17001,1000.0
596,17003,25.0
597,17005,1000.0
598,17007,1000.0
599,17009,1000.0
600,17011,1000.0
601,17013,100.0
602,17015,2000.0
603,17017,1000.0
604,17019,1000.0
605,17021,1000.0
606,17023,1000.0
607,17025,1000.0
608,17027,1000.0
609,17029,1000.0
610,17031,2000.0
611,17033,1000.0
612,17035,1000.0
613,17037,1000.0
614,17039,1000.0
615,17041,1000.0
616,17043,2000.0
617,17045,1000.0
618,17047,1000.0
619,17049,1000.0
620,17051,1000.0
621,17053,1000.0
622,17055,1000.0
623,17057,1000.0
624,17059,940.0
625,17061,1000.0
626,17063,1000.0
627,17065,1000.0
628,17067,1000.0
629,17069,100.0
630,17071,1000.0
631,17073,1000.0
632,17075,1000.0
633,17077,1000.0
634,17079,1000.0
635,17081,1000.0
636,17083,1000.0
637,17085,2000.0
638,17087,1000.0
639,17089,1000.0
640,17091,1000.0
641,17093,2000.0
642,17095,1000.0
643,17097,1000.0
644,17099,1000.0
645,17101,1000.0
646,17103,1000.0
647,17105,1000.0
648,17107,1000.0
649,17109,1000.0
650,17111,1000.0
651,17113,1000.0
652,17115,1000.0
653,17117,1000.0
654,17119,1024.0
655,17121,1000.0
656,17123,1000.0
657,17125,1000.0
658,17127,1000.0
659,17129,1000.0
660,17131,1000.0
661,17133,1000.0
662,17135,1000.0
663,17137,1000.0
664,17139,1000.0
665,17141,1000.0
666,17143,1000.0
667,17145,1000.0
668,17147,1000.0
669,17149,1000.0
670,17151,200.0
671,17153,1000.0
672,17155,1000.0
673,17157,1000.0
674,17159,1000.0
675,17161,1000.0
676,17163,1000.0
677,17165,1000.0
678,17167,1000.0
679,17169,1000.0
680,17171,1000.0
681,17173,1000.0
682,17175,1000.0
683,17177,1000.0
684,17179,1000.0
685,17181,1000.0
686,17183,1000.0
687,17185,1000.0
688,17187,1000.0
689,17189,1000.0
690,17191,1000.0
691,17193,1000.0
692,17195,1000.0
693,17197,1000.0
694,17199,1000.0
695,17201,1000.0
696,17203,1000.0
697,18001,1000.0
698,18003,1000.0
699,18005,5000.0
700,18007,1000.0
701,18009,1000.0
702,18011,1000.0
703,18013,1000.0
704,18015,1000.0
705,18017,1000.0
706,18019,1000.0
707,18021,1024.0
708,18023,1000.0
709,18025,25.0
710,18027,10000.0
711,18029,1000.0
712,18031,1000.0
713,18033,1000.0
714,18035,1000.0
715,18037,1000.0
716,18039,2000.0
717,18041,1000.0
718,18043,1000.0
719,18045,1000.0
720,18047,1000.0
721,18049,1000.0
722,18051,1000.0
723,18053,1000.0
724,18055,1000.0
725,18057,1024.0
726,18059,1000.0
727,18061,1000.0
728,18063,1024.0
729,18065,1000.0
730,18067,1000.0
731,18069,1000.0
732,18071,1000.0
733,18073,1000.0
734,18075,1000.0
735,18077,1000.0
736,18079,1000.0
737,18081,1000.0
